Course_Title,Skills_Taught
Google Project Management (PT),"['Escrita de negócios', 'Pensamento estratégico', 'gerenciamento de projetos', 'Termo de abertura do projeto', 'Coaching', 'Influencia', 'Gerenciamento Agile', 'Solução de problemas', 'Scrum', 'Gerenciamento da qualidade', 'Gerenciamento de riscos', 'Execução de projetos', 'Cultura organizacional', 'gestão de mudança', 'desenvolvimento de carreira', 'Compras', 'gestão de riscos', 'Planejamento de projetos', 'Estimativa de tarefas', 'Comunicação eficaz', 'Gerenciamento das partes interessadas']"
Google Project Management:,"['Organizational Culture', 'Career Development', 'Strategic Thinking', 'Change Management', 'Project Management', 'Quality Management', 'Project Execution', 'Risk Management', 'Coaching', 'Influencing', 'Agile Management', 'Problem Solving', 'Scrum', 'Stakeholder Management', 'Effective Communication', 'Business Writing', 'Project Charter', 'Project Planning', 'Task Estimation', 'Procurement']"
Google UX Design,"['User Experience (UX)', 'UX Research', 'Wireframe', 'Prototype', 'User Experience Design (UXD)', 'mockup', 'Figma', 'Usability Testing', 'UX design jobs']"
Google UX Design,"['Conception de l’expérience utilisateur (UXD)', 'Tests de la facilité d’utilisation', 'Expérience utilisateur (UX)', 'Prototype', 'Recherche UX', 'Test de facilité d’utilisation', 'Emplois de conception UX.', 'Conception Expérience Utilisateur (UXD)', 'Armature', 'Adobe XD', 'Test d’utilisabilité', 'Figma', 'maquette', 'Maquette fonctionnelle']"
Google UX Design (DE),"['Adobe XD', 'User Experience (UX)', 'Usability-Tests', 'Prototyp', 'User Experience Design (UXD)', 'UX-Forschung', 'Wireframe', 'Modell', 'Figma', 'UX Research', 'Jobs im Bereich UX-Design']"
Google UX Design (PT),"['Design de experiência do usuário (UXD)', 'maquete', 'Figma', 'Prototipo', 'Experiência do usuário (UX)', 'Pesquisa de UX', 'Wireframe', 'Testagem de usabilidade', 'Adobe XD', 'Empregos em Design de UX']"
Google شهادة تقنية المعلومات من,"['File Shortcut', 'Privacy', 'Troubleshooting', 'Operating Systems', 'Directory Service', 'Email', 'Provisioning', 'Network Service', 'Subnetwork', 'Network Layer', 'Virtual Private Network (VPN)', 'Switches', 'Malware', 'Cryptography', 'Disk Encryption', 'Reverse Proxy', 'Systems Monitoring', 'Interfaces', 'Process State']"
Google サイバーセキュリティ,[]
Google データアナリティクス,['ビジュアライゼーション']
Google 데이터 애널리틱스 수료증 이수 과정,"['스프레드시트', '메타데이터', 'SQL', '데이터 윤리', '데이터 수집', '프레젠테이션', 'Tableau Software', '데이터 분석', '데이터 시각화', '의사결정', '문제 해결', '질문', '직업 포트폴리오', '사례 연구 활동', '데이터 시각화(DataViz)', '데이터 정리', 'R Markdown', 'Rstudio', 'R 프로그래밍', '샘플 크기 결정', '데이터 무결성', '데이터 집계', '데이터 계산']"
Graphic Design,"['Visual Communication', 'Branding Communication', 'Graphic Design', 'Art History', 'Typography']"
HRCI Human Resource Associate,"['Performance Management', 'Compliance strategy', 'Training development', 'Employee Relations', 'Recruitment']"
HTML and CSS in depth,"['Debugging', 'User Interface', 'React (Web Framework)', 'HTML and CSS', 'JavaScript']"
"HTML, CSS, and Javascript for Web Developers","['HTML', 'JavaScript', 'Css Frameworks', 'Cascading Style Sheets (CSS)']"
Habilidades Gerenciales,"['Delegation', 'Leadership', 'Coaching', 'Supervision']"
Hands-on Introduction to Linux Commands and Shell Scripting,"['Linux', 'Bash (Unix Shell)', 'Extract Transform and Load (ETL)', 'Linux Commands', 'Shell Script']"
Harnessing the Power of Data with Power BI,"['Data Analysis', 'power bi', 'Data-driven decisions']"
Healing with the Arts,"['Music', 'Art', 'Meditation', 'Visual Arts']"
Health Behavior Change: From Evidence to Action,"['health practices', 'behavioral psychology', 'Public Health', 'Mental Health', 'health psychology']"
Health Informatics,"['Data Science', 'Decision Support System', 'Health Informatics', 'Health Care', 'Informatics']"
Health Information Literacy for Data Analytics,"['Data Model', 'healthcare terminology', 'healthcare data']"
Healthcare IT Support,"['Technical Support', 'Customer Support', 'Health Information Technology', 'Telemedicine', 'Electronic Health Records']"
Healthcare Law,"['Affordable Care Act', 'Health Law', 'Health Insurance Portability And Accountability Act (HIPAA)', 'Health Policy', 'Privacy']"
Healthcare Organization Operations,"['Pharmacy Healthcare Organization Operations', 'Public Health and Wellness Healthcare Organization Operations', 'Medical Healthcare Organization Operations', 'Healthcare Administration', 'Dental Healthcare Organization Operations']"
Healthier Materials and Sustainable Building,"['Environmental Impacts of Design', 'Sustainability', 'Green Design', 'Materials', 'Health Transparency and Disclosures']"
Healthy and Sustainable Foods and Products,"['Sustainability', 'Public Health', 'Product Lifecycle', 'environment']"
"Hotel Management: Distribution, Revenue and Demand Management","['Pricing', 'Revenue Management', 'Forecasting', 'Hotel Management']"
How Things Work: An Introduction to Physics,[]
How to Play Guitar,"['Music', 'Guitar scales', 'guitar performance', 'Guitar chords', 'Guitar']"
How to Write and Publish a Scientific Paper (Project-Centered Course),[]
Human Anatomy and Medical Terminology Fundamentals,"['Medical language', 'Medical Terminology', 'Knowledge of Major Diseases', 'human anatomy']"
Human Resource Management: HR for People Managers,"['Performance Management', 'interviewing', 'Human Resources (HR)', 'Onboarding', 'managing people']"
Human Resources Analytics,"['Data Analysis', 'HR Lifecycle', 'Strategic Mindset', 'Human Resources Best Practices']"
IA generativa en el aula,[]
IBM & Darden Digital Strategy,"['Data Science', 'Digital transformation', 'Artificial Intelligence (AI)', 'Business Strategy', 'Cloud Computing']"
IBM AI Engineering,[]
IBM AI Enterprise Workflow,"['Data Science', 'Information Engineering', 'Artificial Intelligence (AI)', 'Machine Learning', 'Python Programming']"
IBM AI Foundations for Business,"['Data Science', 'Artificial Intelligence (AI)', 'Information Technology (IT) Architecture', 'Data Architecture', 'Leadership']"
IBM Applied AI,"['Artifical Intelligence', 'Machine Learning', 'Python Programming', 'Watson AI', 'Chatbot', 'Deep Learning', 'Application Programming Interfaces (API)', 'Artificial Intelligence (AI)', 'watson', 'Data Science', 'Data Analysis', 'Pandas', 'Numpy', 'Web Application', 'Application development', 'Flask', 'Jobs']"
IBM Applied DevOps Engineering,[]
IBM Back-End Development,[]
IBM Cybersecurity Analyst,"['information security analyst', 'IT security analyst', 'security analyst', 'Junior cybersecurity analyst']"
IBM Data Analyst,"['Data Science', 'Spreadsheet', 'Microsoft Excel', 'Python Programming', 'Data Analysis', 'Pandas', 'Numpy', 'Data Visualization (DataViz)', 'Pivot Table', 'SQL', 'IBM Cognos Analytics', 'Dashboard']"
IBM Data Analytics with Excel and R,"['Data Science', 'Spreadsheet', 'Microsoft Excel', 'Relational Databases (RDBMS)', 'R Programming', 'Data Analysis', 'Data Visualization (DataViz)', 'Data Visualization (DataViz)', 'Pivot Table', 'IBM Cognos Analytics', 'Dashboard']"
IBM Data Engineering,"['Data Science', 'ETL & Data Pipelines', 'Relational Database Management Systems (RDBMS)', 'NoSQL and Big Data', 'Python Programming', 'Data Analysis', 'Database (DBMS)', 'Apache Spark', 'SQL']"
IBM Data Science,"['Data Science', 'Methodology', 'Deep Learning', 'Machine Learning', 'Github', 'Python Programming', 'Big Data', 'Jupyter notebooks', 'Data Mining', 'Rstudio', 'SQL']"
IBM Data Warehouse Engineer,"['Data Science', 'Relational Database (RDBMS)', 'Database Architecture', 'database (DB) design', 'NoSQL', 'Business Intelligence (BI)', 'Database (DBMS)', 'Postgresql', 'Enterprise Data Warehouse (EDW)', 'MySQL', 'SQL', 'Extract Transform Load (ETL)']"
IBM DevOps and Software Engineering,[]
IBM Front-End Developer,"['Continuous Integration', 'Devops', 'Mongodb', 'Continuous Delivery', 'agile', 'Web Development', 'React (Web Framework)', 'Front-end design', 'Front-end Development', 'Software Development', 'User Interface', 'JavaScript', 'UI/UX Designer', 'Wordpress', 'Front-End Web Development', 'No-code', 'Website Wireframe', 'Progressive Web Development', 'Figma', 'User Experience (UX)', 'User Interface design (UI Design)', 'Responsive', 'Bootstrap', 'Grid system', 'Web Development Framework', 'Software Architecture', 'Python Programming', 'Software Development Lifecycle (SDLC)', 'Software Engineering', 'Agile and Scrum', 'Debugging', 'Webpack', 'javascript library', 'Search Engine Optimization (SEO)', 'interview Preparation', 'Full Stack Developer', 'Career', 'Software Engineer', 'Coding Challenge', 'open source', 'Cloning and forking', 'Github', 'Git (Software)', 'Distributed Version Control Systems (DVCS)']"
IBM Full Stack Software Developer,"['Cloud Native', 'HTML', 'Devops', 'open source', 'Cascading Style Sheets (CSS)', 'Git (Software)', 'Iaas PaaS Saas', 'Distributed Version Control (DRCS)', 'Hybrid Multicloud', 'JavaScript', 'Cloud Computing', 'Cloud Applications']"
IBM IT Project Manager,"['Information Technology', 'Scrum Master', 'Communication', 'Risk Management', 'Leadership', 'agile', 'Project Management']"
IBM IT Scrum Master,"['Scrum Master', 'Communication', 'Risk Management', 'Leadership', 'agile']"
IBM IT Support,[]
IBM Introduction to Machine Learning,"['Machine Learning Regression', 'Machine Learning Classification', 'Machine Learning', 'Unsupervised Learning', 'Exploratory Data Analysis']"
IBM Machine Learning,"['Artificial Intelligence (AI)', 'Decision Tree', 'Machine Learning', 'Feature Engineering', 'Ensemble Learning', 'Regression Analysis', 'Supervised Learning', 'Machine Learning (ML) Algorithms', 'Linear Regression', 'Statistical Hypothesis Testing', 'Exploratory Data Analysis', 'Ridge Regression']"
IBM Mainframe Developer,"['Mainframe', 'z/OS', 'Enterprise Software', 'security', 'IBM Z', 'Interfaces', 'Computer Programming', 'Command-Line Interface', ""Euler'S Totient Function"", 'Intrinsic Function', 'Sorting', 'COBOL Divisions', 'COBOL coding', 'Column Structure', 'COBOL Structure', 'Symbols', 'Issue Tracking System', 'Scrum (Software Development)']"
IBM Project Manager,"['Project initiation', 'Communication', 'Risk Management', 'Leadership', 'Project Management']"
IBM z/OS Mainframe Practitioner,"['Linux', 'Mainframe', 'z systems', 'security', 'IBM Z']"
IELTS Preparation,[]
IT Fundamentals for Cybersecurity,"['Operating System Security', 'database vulnerabilities', 'Cybersecurity', 'networking basics', 'Cyber Attacks']"
IT Security: Defense against the digital dark arts,"['Cybersecurity', 'Wireless Security', 'Cryptography', 'Network Security']"
IT Support Google,"['Debugging', 'Protokol Jaringan', 'Layanan Pelanggan', 'Algoritma dan Teknik Enkripsi', 'Komputasi Cloud.']"
ITIL 4 Exam Preparation,"['ITIL 4 Foundation topics', 'ITIL Terminogy']"
Immunology: The Immune System and its Failures,"['Tumour immunity', 'Allergy/asthma.', 'Autoimmunity', 'Infectious Diseases', 'Immunology']"
Impact Measurement & Management for the SDGs,[]
Improve Your English Communication Skills,"['Professional', 'Email Writing', 'Presentation', 'Writing']"
Improving Communication Skills,"['goal setting', 'Communication', 'Negotiation', 'Deception']"
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization","['Tensorflow', 'Deep Learning', 'Mathematical Optimization', 'hyperparameter tuning']"
Improving Leadership & Governance in Nonprofit Organizations,"['Management', 'Strategic Leadership', 'Corporate Governance', 'Onboarding', 'Leadership Development']"
In the Studio: Postwar Abstract Painting,"['Art History', 'Art', 'History', 'Color Theory']"
Inclusive Leadership: The Power of Workplace Diversity,"['Emotional Intelligence', 'self-awareness', 'inclusive leadership', 'Communication', 'Diversity (Business)']"
Indigenous Canada,"['Politics', 'Art', 'Human Rights and Allyship', 'History', 'Indigenous Studies']"
Industrial Biotechnology,[]
Infectious Disease Modelling,"['Modeling', 'R Programming']"
"Influencing: Storytelling, Change Management and Governance","['Change Management', 'Communication', 'Negotiation', 'Risk governance']"
"Information Systems Auditing, Controls and Assurance","['Information Security (INFOSEC)', 'Information Technology (IT) Management', 'Audit', 'Risk Management', 'Change Management']"
Information Technology (IT) and Cloud Fundamentals,[]
Information​ ​Systems,"['Project Management', 'Critical Thinking', 'Management']"
Innovation Management,"['Social Network', 'Management', 'Innovation', 'Innovation Management']"
"Innovation Through Design: Think, Make, Break, Repeat",[]
Innovation: From Creativity to Entrepreneurship,"['Creativity', 'Business Model', 'Entrepreneurship', 'Innovation Management', 'Innovation']"
Innovative Teaching with ChatGPT,"['Brainstorming', 'educational games', 'student engagement', 'Personalized Learning', 'Lesson Plan']"
Inspired Leadership,"['Emotional Intelligence', 'Coaching', 'Appreciative Inquiry', 'Leadership', 'Negotiation']"
Inspiring and Motivating Individuals,"['goal setting', 'Communication', 'Leadership', 'Leadership Development']"
Instructional Design Foundations and Applications,"['Analysis for Instructional Design', 'Instructional Design Modeling', 'Learning and Instructional Theories', 'Instructional System Design', 'Instructional Design']"
Instructional Methods in Health Professions Education,"['Teaching', 'Simulation', 'Instructional Design', 'Teaching Method']"
Integrative Health and Medicine,"['wellbeing', 'patient-centered care', 'improved symptom management', 'integrative medicine', 'evidence-based practice']"
Integrative Nursing,"['integrative healthcare', 'wellbeing', 'patient-centered care', 'improved symptom management', 'evidence-based practice', 'symptom management', 'healthcare', 'Stress Management', 'Pain Management', 'whole-person care', 'Mindfulness', 'integrative medicine']"
Intellectual Property Law,"['Brand Management', 'Strategic Thinking', 'Planning', 'Intellectual Property', 'Business Strategy']"
Interaction Design,"['Storyboarding', 'Heuristic Evaluation', 'R Programming', 'A/B Testing']"
International Business Essentials,"['Delegation', 'Business Plan', 'Pest Analysis', 'Statistical Hypothesis Testing']"
International Humanitarian Law in Theory and Practice,"['International Humanitarian Law', 'International Law', 'Law']"
International Law In Action: Investigating and Prosecuting International Crimes,"['Justice', 'Criminal Justice', 'International Law', 'Law']"
International Law in Action: the Arbitration of International Disputes,[]
International Leadership and Organizational Behavior,"['Social Network', 'Leadership', 'Management', 'Cross-Cultural Communication']"
International Marketing & Cross Industry Growth,"['Business Marketing', 'Sports Marketing', 'Marketing']"
International Organizations Management,[]
International Women's Health and Human Rights,"['Health Education', 'Reproductive Health', 'Community Health', 'Sexually Transmitted Infections']"
Interviewing and Resume Writing in English,[]
Introducción a la programación en Python I: Aprendiendo a programar con Python,"['Computer Programming', 'Python Programming', 'List & Label', 'Programming Language']"
Introduction to AI in the Data Center,"['Artificial Intelligence (AI)', 'Machine Learning']"
Introduction to Agile Development and Scrum,"['Agile Software Development', 'Scrum Methodology', 'Zenhub', 'Kanban', 'Sprint Planning']"
Introduction to Artificial Intelligence (AI),"['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Jobs', 'Machine Learning']"
Introduction to Back-End Development,[]
"Introduction to Biology: Ecology, Evolution, & Biodiversity","['Ecosystem Model', 'Concept mapping and visualization', 'Interdisciplinary thinking', 'Inspecting specimens', 'Communicating scientific ideas', 'Interpreting phylogenetic trees', 'Examining ideas', 'Researching scientific articles', 'Recording observations', 'Identifying species']"
Introduction to Business,"['Strategic Planning', 'engagement', 'Storytelling', 'Expense Control', 'Leadership Style']"
Introduction to Calculus,"['logic', 'Mathematics', 'Calculus']"
Introduction to Chemistry:  Reactions and Ratios,[]
Introduction to Clinical Data,[]
Introduction to Cloud Computing,"['Cloud Native', 'Devops', 'Iaas PaaS Saas', 'Hybrid Multicloud', 'Cloud Computing']"
Introduction to Computer Science and Programming,"['Computer Graphics (CG)', 'Problem Solving', 'Mathematics', 'JavaScript', 'Computer Programming']"
Introduction to Computer Vision and Image Processing,"['Deep Learning', 'Opencv', 'Artificial Intelligence (AI)', 'Image Processing', 'Computer Vision']"
Introduction to Computers and Operating Systems and Security,"['Computer Architecture', 'Cybersecurity', 'Cloud Computing', 'Operating Systems']"
Introduction to Corporate Finance,"['Discounted Cash Flow', 'Decision-Making', 'Corporate Finance', 'Cash Flow Analysis']"
Introduction to Cyber Security,"['Cryptography', 'Cybersecurity', 'Risk Assessment', 'Cyber Defense', 'Cyber Attacks']"
Introduction to Cybersecurity Tools & Cyber Attacks,"['Information Security (INFOSEC)', 'IBM New Collar', 'Malware', 'Cybersecurity', 'Cyber Attacks']"
Introduction to Data Analytics,"['Data Science', 'Spreadsheet', 'Microsoft Excel', 'Data Analysis', 'Data Visualization (DataViz)']"
Introduction to Data Engineering,"['Data Science', 'Information Engineering', 'Database (DBMS)', 'NoSQL', 'SQL']"
Introduction to Data Science,"['Data Science', 'Relational Database Management System (RDBMS)', 'Cloud Databases', 'Python Programming', 'SQL']"
Introduction to Data Science in Python,"['Python Programming', 'Numpy', 'Pandas', 'Data Cleansing']"
Introduction to Deep Learning & Neural Networks with Keras,"['Deep Learning', 'Artificial Neural Network', 'Artificial Intelligence (AI)', 'Machine Learning', 'keras']"
Introduction to Dental Medicine,[]
Introduction to DevOps,"['Cloud Native', 'Devops', 'CI/CD', 'agile', 'TDD/BDD']"
Introduction to Discrete Mathematics for Computer Science,"['Graph Theory', 'Number Theory', 'Cryptography', 'Probability']"
Introduction to Electronics,[]
Introduction to Embedded Systems Software and Development Environments,"['Makefile', 'C Programming', 'Embedded C']"
Introduction to Engineering Mechanics,[]
Introduction to English Common Law,[]
Introduction to Environmental Law and Policy,"['Environmental Law', 'Common Law', 'Law', 'Environmental Protection']"
Introduction to Environmental Science,[]
Introduction to Finance and Accounting,"['Corporate Finance', 'Financial Accounting', 'Financial Statement', 'Accounting', 'Decision-Making']"
Introduction to Finance: The Basics,"['Financial Management', 'Finance', 'Future Value', 'Leadership And Management']"
Introduction to Financial Accounting,"['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet']"
Introduction to Financial Accounting: The Accounting Cycle,[]
"Introduction to Financial Analysis - The ""Why?""","['Risk', 'Financial Analysis', 'Financial Statement', 'Accounting', 'Finance']"
Introduction to Financial Engineering and Risk Management,"['Derivatives', 'Swaps and options', 'Fixed Income', 'Binomial Distribution', 'black scholes model']"
Introduction to Forensic Science,[]
Introduction to Front-End Development,"['Web Development Tools', 'User Interface', 'Front-End Web Development', 'HTML and CSS', 'Responsive Web Design']"
Introduction to Generative AI,[]
Introduction to Git and GitHub,"['Using Git', 'Version Control Systems', 'Interacting with GitHub', 'Reverting Changes', 'Creating Pull Requests']"
Introduction to Good Clinical Practice,"['Clinical trial basics', 'Drug Development', 'Good clinical practice', 'Clinical trial diversity', 'Regulatory frameworks']"
Introduction to Google SEO,"['Search Algorithm', 'Search Engine Optimization (SEO)', 'Mathematical Optimization', 'Semantics']"
Introduction to Hardware and Operating Systems,"['Operating Systems', 'IT Fundamentals', 'Technical Support', 'Troubleshooting', 'hardware']"
Introduction to Healthcare,[]
Introduction to Industrial Bioprocess Development,"['bioprocess engineering', 'biomanufacturing', 'Microbiology', 'Biotechnology']"
Introduction to Large Language Models,[]
Introduction to Logic and Critical Thinking,"['reason', 'logic', 'analysis', 'Business Communication', 'Communication', 'Critical Thinking']"
Introduction to Machine Learning,"['Natural Language Processing', 'Convolutional Neural Network', 'Machine Learning', 'Python Programming', 'pytorch']"
Introduction to Machine Learning in Production,"['Human-level Performance (HLP)', 'Concept Drift', 'Model baseline', 'Project Scoping and Design', 'ML Deployment Challenges']"
Introduction to Marketing,"['Positioning (Marketing)', 'Marketing', 'Marketing Strategy', 'Customer Satisfaction']"
Introduction to Mathematical Thinking,"['Number Theory', 'Real Analysis', 'Mathematical Logic', 'Language']"
Introduction to Microsoft Azure Cloud Services,"['Microsoft Azure', 'Cloud Computing']"
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,"['Game Theory', 'Negotiation', 'Collaboration', 'Principled Negotiation']"
Introduction to Operations Management,"['Process Management', 'Operations Management', 'Six Sigma', 'Inventory']"
Introduction to Philosophy,[]
Introduction to Probability and Data with R,"['Statistics', 'R Programming', 'Rstudio', 'Exploratory Data Analysis']"
Introduction to Programming with MATLAB,"['Computer Programming', 'Problem Solving', 'Matlab', 'Programming Language']"
Introduction to Programming with Python and Java,"['Programming Principles', 'Python Programming', 'Java Programming', 'Data Structure', 'Computer Programming']"
Introduction to Project Management,"['Project Planning', 'Career Development', 'Scrum Master', 'Agile PM', 'Project Management']"
Introduction to Project Management,[]
Introduction to Psychology,"['Psychological Issues', 'Psychology', 'Social Psychology', 'Mental Illness']"
Introduction to Psychology,"['reasoning', 'Problem Solving', 'abstract thinking', 'analytical thinking', 'Critical Thinking']"
Introduction to Public Relations and the Media,"['Press Release', 'Public Relations', 'Branding', 'Influencers']"
Introduction to Python Programming,"['Python Tools', 'Python Syntax And Semantics', 'Programming Principles', 'Python Programming', 'Computer Programming']"
Introduction to Responsible AI,[]
Introduction to Scripting in Python,"['Codeskulptor', 'Data Analysis', 'Python Programming', 'Data Visualization (DataViz)']"
Introduction to Scrum Master Training,[]
Introduction to Self-Driving Cars,[]
Introduction to Social Media Marketing,"['Social Media Marketing', 'Marketing', 'Digital Marketing', 'Social Media Marketing Strategy']"
Introduction to Software Engineering,"['Software Architecture', 'Python Programming', 'Software Development Lifecycle (SDLC)', 'Software Engineering', 'Agile and Scrum']"
Introduction to Spreadsheets and Models,"['Monte Carlo Method', 'Microsoft Excel', 'Linear Programming (LP)', 'Solver']"
Introduction to Statistics,[]
Introduction to Sustainability,[]
Introduction to Systematic Review and Meta-Analysis,[]
Introduction to Systems Engineering,[]
Introduction to Technical Support,"['Customer Service', 'Ticketing Systems', 'Technical Support', 'Service Level Agreements (SLA)', 'Information Technology (IT) Support']"
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","['Computer Vision', 'Tensorflow', 'Machine Learning']"
Introduction to User Experience Design,"['Usability', 'User Experience (UX)', 'User Experience Design (UXD)', 'User Interface']"
Introduction to Web Development,"['Css Code', 'HTML', 'JavaScript', 'Cascading Style Sheets (CSS)']"
"Introduction to Web Development with HTML, CSS, JavaScript","['Web Development', 'Cascading Style Sheets (CSS)', 'HTML', 'Git (Software)', 'JavaScript']"
Introductory C Programming,"['Debugging', 'Software Development Process', 'Algorithms', 'Software Design', 'Problem Solving', 'Software Engineering', 'C Programming', 'Computer Programming']"
Introductory Human Physiology,"['Cardiovascular understanding', 'Biology', 'Organ Systems', 'Medicine', 'Metabolic Pathways']"
Intuit Academy Bookkeeping,"['Double-Entry Bookkeeping System', 'Bookkeeping', 'Bank Reconciliations', 'Accounting Concepts and Measurement']"
Investment Management,"['Investment Management', 'Risk Management', 'Financial Markets', 'Finance']"
Investment Management with Python and Machine Learning,"['Risk Management', 'Portfolio construction and analysis', 'Python programming skills', 'Implementation of data science techniques in investment decisions', 'Portfolio Optimization']"
Investment and Portfolio Management,"['Performance Attribution', 'Behavioral Finance', 'Financial Markets', 'Behavioral Economics']"
Java FullStack Developer,"['Cascading Style Sheets (CSS)', 'Spring', 'HTML', 'JPA', 'Java Programming', 'Object-Oriented Programming (OOP)', 'Data Structure', 'JavaScript', 'hibernate', 'springboot', 'Angularjs']"
Java Programming and Software Engineering Fundamentals,"['Debugging', 'Cascading Style Sheets (CSS)', 'HTML', 'Algorithms', 'Software Design', 'Data Analysis', 'Java Programming', 'Object-Oriented Programming (OOP)', 'Software Engineering', 'Data Structure', 'JavaScript', 'Computer Programming']"
JavaScript for Beginners,"['web interactivty', 'Jquery', 'Data Manipulation', 'JavaScript']"
Key Technologies for Business,"['Data Science', 'Artificial Intelligence (AI)', 'Business', 'Cloud Computing', 'technology']"
Leadership Skills,"['Leading and managing change in organisation', 'Supportive communication', 'Leading subordinates effectively', 'Mindfulness', 'Positive Personality']"
Leadership in 21st Century Organizations,"['Strategic Management', 'Leadership', 'Collaboration', 'Communications Management']"
Leading Diverse Teams & Organizations,"['Equity', 'Leadership', 'diversity', 'inclusion']"
Leading Healthcare Quality and Safety,[]
Leading People and Teams,"['Vision Alignment', 'Talent Management', 'Goals and Rewards', 'Motivate Employees', 'Leadership']"
Leading the Modern Day Business,"['Marketing', 'Business Strategy', 'Leadership And Management', 'Storytelling', 'Innovation']"
Leading: Human Resource Management and Leadership,"['Strategic Thinking', 'Human Resources (HR)', 'Visionary leadership', 'Organisational design']"
Learn Chinese: HSK Test Preparation,"['Chinese Language', 'Hanyu Shuiping Kaoshi (HSK)']"
Learn English: Advanced Academic Speaking and Listening,"['Lecture', 'Note Taking', 'Presentation', 'Speech']"
Learn English: Advanced Grammar and Punctuation,"['English Grammar', 'Punctuation', 'Grammar', 'English Language']"
Learn English: Beginning Grammar,[]
Learn English: Intermediate Grammar,"['English Grammar', 'Perfect Tenses', 'English Language', 'Adjective']"
Learn SQL Basics for Data Science,"['Data Analysis', 'Apache Spark', 'Delta Lake', 'SQL']"
Learn Spanish: Basic Spanish Vocabulary,['Grammar']
Learn to Program: The Fundamentals,"['Python Syntax And Semantics', 'Computer Programming', 'Python Programming', 'Idle (Python)']"
Learn to Speak Korean 1,[]
Learning How to Learn: Powerful mental tools to help you master tough subjects,"['Test Preparation', 'Learning To Learn', 'Pomodoro Technique', 'Meta Learning']"
Learning Linux for LFCA Certification,"['creating links to files and directories', 'updating packages', 'managing Linux File Systems', 'filtering text files', 'applying permissions']"
Learning and Development,"['Learning Delivery Methods', 'Effective Training', 'Training Needs', 'Learning Models']"
Learning for a Sustainable Future,[]
Les Fondamentaux de la Négociation,[]
Leverage Data Science for a More Agile Supply Chain,"['Data-Informed Decision-Making', 'Analyze Metrics', 'Resource and Capacity Optimization', 'Risk identification', 'Agile Supply Chain Planning']"
Linear Algebra for Machine Learning and Data Science,"['Machine Learning', 'Linear Equation', 'Eigenvalues And Eigenvectors', 'Linear Algebra', 'Determinants']"
Linear Circuits 1: DC Analysis,[]
Linux and Private Cloud Administration on IBM Power Systems,"['System Administration', 'Red Hat Enterprise Linux', 'virtualization', 'IBM Power Systems', 'Cloud Computing']"
MATLAB Programming for Engineers and Scientists,"['Matlab', 'Data Analysis', 'Object-Oriented Programming (OOP)', 'Image Processing', 'Computer Programming']"
MLOps | Machine Learning Operations,"['Data Management', 'Devops', 'MLOps', 'Machine Learning', 'Github', 'Python Programming', 'Data Analysis', 'Microsoft Azure', 'Big Data', 'Amazon Web Services (Amazon AWS)', 'Cloud Computing', 'Rust Programming']"
Machine Learning,"['Data Clustering Algorithms', 'Machine Learning', 'Classification Algorithms', 'Decision Tree']"
Machine Learning,"['Decision Trees', 'Artificial Neural Network', 'Logistic Regression', 'Recommender Systems', 'Linear Regression']"
Machine Learning Data Lifecycle in Production,"['ML Metadata', 'Convolutional Neural Network', 'TensorFlow Extended (TFX)', 'Data Validation', 'Data transformation']"
Machine Learning Engineering for Production (MLOps),"['Managing Machine Learning Production Systems', 'Deployment Pipelines', 'Model Pipelines', 'Data Pipelines', 'Machine Learning Engineering for Production']"
Machine Learning Foundations for Product Managers,"['Data Science', 'Artificial Neural Network', 'Machine Learning', 'Predictive Analytics', 'Modeling']"
Machine Learning Modeling Pipelines in Production,"['Explainable AI', 'Fairness Indicators', 'automl', 'Model Performance Analysis', 'Precomputing Predictions']"
Machine Learning and Reinforcement Learning in Finance,"['Predictive Modelling', 'Financial Engineering', 'Machine Learning', 'Tensorflow', 'Reinforcement Learning']"
Machine Learning for All,[]
Machine Learning for Trading,"['Reinforcement Learning Model Development', 'Reinforcement Learning Trading Algorithm Optimization', 'Reinforcement Learning Trading Strategy Development', 'Reinforcement Learning Trading Algo Development', 'Algorithmic Trading', 'Python Programming', 'Machine Learning', 'Finance', 'Trading', 'Investment', 'Machine Learning applied to Finance']"
Machine Learning on Google Cloud,"['Vertex AI', 'Machine Learning', 'Feature Engineering', 'Tensorflow', 'Cloud Computing']"
Machine Learning with Python,"['SciPy and scikit-learn', 'Machine Learning', 'regression', 'classification', 'Hierarchical Clustering']"
"Make the Sale: Build, Launch, and Manage E-commerce Stores","['Fulfillment and delivery', 'Website Structure', 'E-commerce platforms', 'E-Commerce Strategy', 'Seasonality']"
Making Architecture,[]
Management Consulting,"['Management Consulting', 'Presentation', 'Problem Solving', 'Consulting', 'Recruiting']"
Management of Fashion and Luxury Companies,"['Strategic Management', 'Business Model', 'Luxury Goods', 'Brand Management']"
Managerial Accounting Fundamentals,[]
Managerial Economics and Business Analysis,"['Supply And Demand', 'Game Theory', 'Data Analysis', 'Financial Systems', 'Market(Economics)']"
